aspect,keyword_matched,sentence,sentiment_score,review_id,product_id,brand
Size & Capacity,fits,Fits all airline requirements,0.0,RDIVUZZPQK51FP,B0C381B6B5,Safari
Size & Capacity,space,Decent space,0.0,RDIVUZZPQK51FP,B0C381B6B5,Safari
Handle,handle,handle is of great quality,0.6249,RDIVUZZPQK51FP,B0C381B6B5,Safari
Durability,quality,handle is of great quality,0.6249,RDIVUZZPQK51FP,B0C381B6B5,Safari
Size & Capacity,compartments,The compartments could be better,0.4404,RMMJBQE7CKW5NG,B0C381B6B5,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,RQ4FMYZYCWTIQJ,B0C381B6B5,Safari
Material,material,The material deserves special mention,0.4019,RQ4FMYZYCWTIQJ,B0C381B6B5,Safari
Size & Capacity,spacious,Compact yet spacious,0.0,R2OC6UZHR5XFF0,B0C381B6B5,Safari
Size & Capacity,compartments,The compartments deserves special mention,0.4019,R2OC6UZHR5XFF0,B0C381B6B5,Safari
Material,material,Decent space and the material is top notch,0.2023,R4FFYVNVQJT7YE,B0C381B6B5,Safari
Size & Capacity,space,Decent space and the material is top notch,0.2023,R4FFYVNVQJT7YE,B0C381B6B5,Safari
Durability,quality,Great quality for the price,0.6249,RQ85JSG65KXVF1,B0C381B6B5,Safari
Weight,lightweight,Lightweight,0.0,RQ85JSG65KXVF1,B0C381B6B5,Safari
Size & Capacity,compartments,The compartments works smoothly,0.0,RQ85JSG65KXVF1,B0C381B6B5,Safari
Weight,lightweight,Affordable price and lightweight,0.0,RIIUC039TEX8FS,B0C381B6B5,Safari
Material,build,The build quality is really impressive,0.5563,RIIUC039TEX8FS,B0C381B6B5,Safari
Durability,build quality,The build quality is really impressive,0.5563,RIIUC039TEX8FS,B0C381B6B5,Safari
Material,material,"Lightweight, good value, and excellent material",0.8402,RXPSEIMVIHCWI6,B0C381B6B5,Safari
Weight,lightweight,"Lightweight, good value, and excellent material",0.8402,RXPSEIMVIHCWI6,B0C381B6B5,Safari
Wheels,wheel,wheel quality though,0.0,RMO5BXXC02DGTF,B4776CE822,Safari
Durability,quality,wheel quality though,0.0,RMO5BXXC02DGTF,B4776CE822,Safari
