product_id,brand,title,price,list_price,discount_pct,rating,review_count,category,size,url
B0C381B6B5,Safari,Safari Pentagon Hardside Small Cabin Luggage,3999,4699,14.9,3.8,59,Cabin,55cm,https://www.amazon.in/dp/B0C381B6B5
B4776CE822,Safari,Safari Thorium Sharp Anti-Scratch Trolley Bag,4099,5199,21.2,3.7,189,Medium,66cm,https://www.amazon.in/dp/B4776CE822
B78CFEE677,Safari,Safari Regloss Antiscratch Suitcase,2499,3299,24.2,3.9,40,Large,76cm,https://www.amazon.in/dp/B78CFEE677
B420E780CA,Safari,Safari Crypto 4W Spinner Trolley Bag,3599,4699,23.4,3.9,91,Cabin,55cm,https://www.amazon.in/dp/B420E780CA
B39898F91D,Safari,Safari Ray Polycarbonate Hardsided Cabin Luggage,4849,6499,25.4,3.9,171,Cabin,53cm,https://www.amazon.in/dp/B39898F91D
B4F9315E17,Safari,Safari Haze 8 Wheels Trolley Bag,1399,2099,33.3,3.7,121,Medium,65cm,https://www.amazon.in/dp/B4F9315E17
B0A318CA95,Safari,Safari Ozone Softside Spinner Suitcase,1599,2099,23.8,4.2,118,Large,77cm,https://www.amazon.in/dp/B0A318CA95
B84A775390,Safari,Safari Flo Secure 4W Trolley Bag,1999,2599,23.1,4.1,236,Cabin,55cm,https://www.amazon.in/dp/B84A775390
BD6A2E0D06,Safari,Safari Zen Polypropylene Hardsided Trolley,1999,3099,35.5,3.7,111,Medium,66cm,https://www.amazon.in/dp/BD6A2E0D06
B8A92F16C3,Safari,Safari Axis 4 Wheel Trolley Bag Set,2000,3099,35.5,4.1,164,Set,55+66+76cm,https://www.amazon.in/dp/B8A92F16C3
BCF28C6B65,Safari,Safari Pentagon 4W Spinner Medium,4499,6999,35.7,4.0,153,Medium,67cm,https://www.amazon.in/dp/BCF28C6B65
BE0EA7367F,Safari,Safari Thorium Printed Hardside Cabin,2799,3899,28.2,3.8,32,Cabin,55cm,https://www.amazon.in/dp/BE0EA7367F
B91271AA5C,Skybags,Skybags Neo Strolly Cabin Luggage,4800,6799,29.4,3.8,121,Cabin,55cm,https://www.amazon.in/dp/B91271AA5C
B590634F3D,Skybags,Skybags Trooper Polycarbonate Hardsided Suitcase,6000,7399,18.9,4.2,61,Medium,65cm,https://www.amazon.in/dp/B590634F3D
BE9AACBA56,Skybags,Skybags Cube 4W Spinner Large,2099,2699,22.2,4.0,89,Large,75cm,https://www.amazon.in/dp/BE9AACBA56
B6E6D088C5,Skybags,Skybags Zoom Ultra Trolley Bag,4699,5799,19.0,4.1,120,Cabin,55cm,https://www.amazon.in/dp/B6E6D088C5
BA614F2B42,Skybags,Skybags Stream Polycarbonate Hardcase,2200,3099,29.0,4.0,215,Medium,67cm,https://www.amazon.in/dp/BA614F2B42
BCFDA48FA6,Skybags,Skybags Beach 4 Wheel Trolley Bag,5199,7199,27.8,4.0,47,Cabin,55cm,https://www.amazon.in/dp/BCFDA48FA6
B656A00C3F,Skybags,Skybags Sonic Strolly Hardcase Luggage,2449,3699,33.8,3.9,195,Large,78cm,https://www.amazon.in/dp/B656A00C3F
B04E7EBCC4,Skybags,Skybags Ramp Cabin Polycarbonate Spinner,3200,4499,28.9,4.2,76,Cabin,55cm,https://www.amazon.in/dp/B04E7EBCC4
B9115C8EF5,Skybags,Skybags Trick 4W Strolly Medium,2749,3799,27.6,4.1,26,Medium,66cm,https://www.amazon.in/dp/B9115C8EF5
BC37D84A76,Skybags,Skybags Majestic Softsided Trolley Set,6499,8899,27.0,3.9,134,Set,55+66cm,https://www.amazon.in/dp/BC37D84A76
BD33B5463E,Skybags,Skybags Flashy Polycarbonate Cabin,6499,8299,21.7,4.1,78,Cabin,55cm,https://www.amazon.in/dp/BD33B5463E
B123E4A758,American Tourister,American Tourister Ivy Polypropylene Hardside Cabin,12349,17599,29.8,4.1,126,Cabin,55cm,https://www.amazon.in/dp/B123E4A758
B630890FAD,American Tourister,American Tourister Liftoff Spinner Medium,11149,15699,29.0,4.4,82,Medium,68cm,https://www.amazon.in/dp/B630890FAD
BE8E47B1D7,American Tourister,American Tourister Stratos Polycarbonate Hardshell,8299,11799,29.7,4.2,68,Large,77cm,https://www.amazon.in/dp/BE8E47B1D7
B751A278E1,American Tourister,American Tourister Instagon Spinner Trolley Bag,12749,20899,39.0,4.3,29,Cabin,55cm,https://www.amazon.in/dp/B751A278E1
B548BF203F,American Tourister,American Tourister Kamiliant Zakk Spinner,12699,20099,36.8,4.0,188,Medium,68cm,https://www.amazon.in/dp/B548BF203F
BD6581E74E,American Tourister,American Tourister Splash Voyage Hardside,7749,9999,22.5,4.4,157,Cabin,55cm,https://www.amazon.in/dp/BD6581E74E
BFAEB1981C,American Tourister,American Tourister Cascade Spinner Large,3949,5499,28.2,4.4,66,Large,76cm,https://www.amazon.in/dp/BFAEB1981C
B6E62FFB78,American Tourister,American Tourister Speedair Cabin 4W,11099,15699,29.3,4.2,88,Cabin,55cm,https://www.amazon.in/dp/B6E62FFB78
BC16645A77,American Tourister,American Tourister Jamaica Polypropylene Medium,6099,9699,37.1,4.0,84,Medium,66cm,https://www.amazon.in/dp/BC16645A77
B4693BD9F6,American Tourister,American Tourister Mighty Maze Spinner,5449,8399,35.1,4.1,157,Cabin,55cm,https://www.amazon.in/dp/B4693BD9F6
BAF58A1206,American Tourister,American Tourister Ga0 Armor Trolley Set,10199,16799,39.3,4.4,118,Set,55+68cm,https://www.amazon.in/dp/BAF58A1206
B6C585D0E9,American Tourister,American Tourister Fornax Spinner Hard Body,7099,9899,28.3,4.2,146,Large,77cm,https://www.amazon.in/dp/B6C585D0E9
