product_id,brand,title,price,list_price,discount_pct,rating,review_count_x,category,size,url,price_band,avg_sentiment,review_count_y,norm_price,norm_sentiment,norm_rating,vfm_score,vfm_rank,vfm_label
B0C381B6B5,Safari,Safari Pentagon Hardside Small Cabin Luggage,3999,4699,14.9,3.8,59,Cabin,55cm,https://www.amazon.in/dp/B0C381B6B5,Mid-Range,0.8125249999999999,8,0.2290547088362259,0.9353774469948085,0.19047619047619044,1.711,27,Good Value
B4776CE822,Safari,Safari Thorium Sharp Anti-Scratch Trolley Bag,4099,5199,21.2,3.7,189,Medium,66cm,https://www.amazon.in/dp/B4776CE822,Mid-Range,0.6481142857142858,14,0.23786450532992687,0.6268952762166846,0.142857142857143,1.139,43,Good Value
B78CFEE677,Safari,Safari Regloss Antiscratch Suitcase,2499,3299,24.2,3.9,40,Large,76cm,https://www.amazon.in/dp/B78CFEE677,Budget,0.6556,7,0.09690776143071095,0.6409406466946023,0.23809523809523808,2.232,16,Excellent Value
B420E780CA,Safari,Safari Crypto 4W Spinner Trolley Bag,3599,4699,23.4,3.9,91,Cabin,55cm,https://www.amazon.in/dp/B420E780CA,Mid-Range,0.7657333333333333,9,0.1938155228614219,0.8475827131152663,0.23809523809523808,1.848,23,Good Value
B39898F91D,Safari,Safari Ray Polycarbonate Hardsided Cabin Luggage,4849,6499,25.4,3.9,171,Cabin,53cm,https://www.amazon.in/dp/B39898F91D,Mid-Range,0.65309,10,0.3039379790326843,0.6362311589217584,0.23809523809523808,1.082,45,Good Value
B4F9315E17,Safari,Safari Haze 8 Wheels Trolley Bag,1399,2099,33.3,3.7,121,Medium,65cm,https://www.amazon.in/dp/B4F9315E17,Budget,0.5979714285714286,7,0.0,0.5328127373283417,0.142857142857143,3.378,6,Excellent Value
B0A318CA95,Safari,Safari Ozone Softside Spinner Suitcase,1599,2099,23.8,4.2,118,Large,77cm,https://www.amazon.in/dp/B0A318CA95,Budget,0.6271142857142857,7,0.01761959298740199,0.587493187280541,0.38095238095238104,4.117,1,Excellent Value
B84A775390,Safari,Safari Flo Secure 4W Trolley Bag,1999,2599,23.1,4.1,236,Cabin,55cm,https://www.amazon.in/dp/B84A775390,Budget,0.6726,13,0.05285877896220597,0.6728375758333852,0.3333333333333332,3.291,7,Excellent Value
BD6A2E0D06,Safari,Safari Zen Polypropylene Hardsided Trolley,1999,3099,35.5,3.7,111,Medium,66cm,https://www.amazon.in/dp/BD6A2E0D06,Budget,0.5728846153846153,13,0.05285877896220597,0.4857426018849495,0.142857142857143,2.056,20,Good Value
B8A92F16C3,Safari,Safari Axis 4 Wheel Trolley Bag Set,2000,3099,35.5,4.1,164,Set,55+66+76cm,https://www.amazon.in/dp/B8A92F16C3,Budget,0.6541909090909092,11,0.052946876927142984,0.6382967835841686,0.3333333333333332,3.176,9,Excellent Value
